title,rating_count,avg_rating
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)",97,4.26804
"Avatar (2009)",97,3.60309
"Requiem for a Dream (2000)",96,3.92188
"As Good as It Gets (1997)",96,3.69792
"Rain Man (1988)",96,3.80729
"Matrix Reloaded, The (2003)",96,3.35417
"Iron Man (2008)",94,3.82447
"O Brother, Where Art Thou? (2000)",94,3.80851
"Office Space (1999)",94,4.09043
"Snatch (2000)",93,4.15591
"Nightmare Before Christmas, The (1993)",93,3.55376
"Harry Potter and the Prisoner of Azkaban (2004)",93,3.91398
"Star Wars: Episode II - Attack of the Clones (2002)",92,3.15761
"Shrek 2 (2004)",92,3.57609
"Bug's Life, A (1998)",92,3.51630
"Natural Born Killers (1994)",92,3.23370
"Armageddon (1998)",92,3.05435
"Wizard of Oz, The (1939)",92,3.88043
"Shakespeare in Love (1998)",92,3.77717
"Meet the Parents (2000)",91,3.41758
"Jaws (1975)",91,4.00549
"Star Trek: First Contact (1996)",91,3.87912
"Big (1988)",91,3.71978
"Stand by Me (1986)",91,4.00549
"Beetlejuice (1988)",91,3.47253
"Hunt for Red October, The (1990)",90,3.87222
"Prestige, The (2006)",90,4.00556
"Get Shorty (1995)",89,3.49438
"Monty Python's Life of Brian (1979)",89,3.92697
"Ace Ventura: When Nature Calls (1995)",88,2.72727
"Back to the Future Part III (1990)",88,3.36932
"Total Recall (1990)",88,3.65341
"Life Is Beautiful (La Vita è bella) (1997)",88,4.14773
"Inglourious Basterds (2009)",88,4.13636
"Airplane! (1980)",87,3.85632
"Mummy, The (1999)",87,3.12069
"Back to the Future Part II (1989)",87,3.50575
"Spirited Away (Sen to Chihiro no kamikakushi) (2001)",87,4.15517
"Birdcage, The (1996)",86,3.49419
"Mars Attacks! (1996)",86,3.09302
"Gattaca (1997)",86,3.95349
"Dead Poets Society (1989)",86,3.95930
"Jerry Maguire (1996)",85,3.59412
"When Harry Met Sally... (1989)",85,3.85882
"Ice Age (2002)",85,3.68824
"Sin City (2005)",84,3.85714
"Broken Arrow (1996)",84,3.02381
"Blues Brothers, The (1980)",84,3.80952
"Addams Family Values (1993)",84,3.10119
"Rear Window (1954)",84,4.26190
"Almost Famous (2000)",83,3.86747
"Psycho (1960)",83,4.03614
"Top Gun (1986)",83,3.30120
"Casino (1995)",82,3.92683
"Nutty Professor, The (1996)",82,2.73171
"Contact (1997)",82,3.65244
"Quiz Show (1994)",81,3.51852
"Santa Clause, The (1994)",81,3.20370
"Demolition Man (1993)",81,3.09259
"Bourne Ultimatum, The (2007)",81,3.69753
"Casino Royale (2006)",81,3.94444
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",81,3.81481
"300 (2007)",80,3.68125
"Mr. Holland's Opus (1995)",80,3.70625
"Edward Scissorhands (1990)",80,3.70000
"Starship Troopers (1997)",80,3.33125
"Graduate, The (1967)",79,4.06329
"Dogma (1999)",79,3.64557
"Spider-Man 2 (2004)",79,3.80380
"Matrix Revolutions, The (2003)",79,3.15190
"Star Wars: Episode III - Revenge of the Sith (2005)",78,3.42949
"Chicken Run (2000)",78,3.55128
"Game, The (1997)",77,3.70130
"Mission: Impossible II (2000)",77,2.71429
"What's Eating Gilbert Grape (1993)",77,3.76623
"Face/Off (1997)",77,3.37013
"Snow White and the Seven Dwarfs (1937)",77,3.61688
"Little Miss Sunshine (2006)",77,3.88312
"Shaun of the Dead (2004)",77,4.00649
"X2: X-Men United (2003)",76,3.72368
"Hangover, The (2009)",76,3.63158
"Dark Knight Rises, The (2012)",76,3.99342
"Leaving Las Vegas (1995)",76,3.62500
"South Park: Bigger, Longer and Uncut (1999)",76,3.86184
"Amadeus (1984)",76,4.18421
"Dave (1993)",76,3.54605
"Galaxy Quest (1999)",75,3.58000
"Run Lola Run (Lola rennt) (1998)",75,4.00000
"High Fidelity (2000)",75,3.66667
"Lethal Weapon (1987)",75,3.67333
"City of God (Cidade de Deus) (2002)",75,4.14667
"Bourne Supremacy, The (2004)",75,3.78667
"40-Year-Old Virgin, The (2005)",74,3.54730
"Lost in Translation (2003)",74,4.03378
"Maverick (1994)",74,3.50000
"Liar Liar (1997)",74,3.03378
"Unbreakable (2000)",73,3.47945
"Interstellar (2014)",73,3.99315
"Ratatouille (2007)",72,3.86806
"Pirates of the Caribbean: Dead Man's Chest (2006)",72,3.50694
"Charlie's Angels (2000)",72,2.72222
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",72,4.14583
"Fish Called Wanda, A (1988)",71,3.92254
"Mary Poppins (1964)",71,3.88732
"Slumdog Millionaire (2008)",71,3.80986
"Django Unchained (2012)",71,3.94366
"Harry Potter and the Goblet of Fire (2005)",71,3.81690
"Bruce Almighty (2003)",71,3.31690
"RoboCop (1987)",70,3.37143
"American President, The (1995)",70,3.67143
"Traffic (2000)",70,3.90000
"Scream (1996)",70,3.20000
"Ed Wood (1994)",70,3.67857
"Erin Brockovich (2000)",70,3.52857
"In the Line of Fire (1993)",70,3.69286
"Young Frankenstein (1974)",69,3.99275
"Robin Hood: Men in Tights (1993)",69,3.13043
"Citizen Kane (1941)",69,4.04348
"Big Fish (2003)",69,3.83333
"Avengers, The (2012)",69,3.86957
"Honey, I Shrunk the Kids (1989)",68,2.75735
"Pocahontas (1995)",68,3.14706
"Royal Tenenbaums, The (2001)",68,3.68382
"Patriot, The (2000)",68,3.44853
"Grease (1978)",68,3.13971
"Die Hard 2 (1990)",68,3.40441
"Legends of the Fall (1994)",68,3.39706
"Sense and Sensibility (1995)",67,3.77612
"Dead Man Walking (1995)",67,3.83582
"Little Mermaid, The (1989)",67,3.42537
"Scarface (1983)",67,3.93284
"Enemy of the State (1998)",67,3.49254
"Lost World: Jurassic Park, The (1997)",67,2.75373
"Lock, Stock & Two Smoking Barrels (1998)",67,4.05224
"Shutter Island (2010)",67,4.02239
"Desperado (1995)",66,3.56061
"This Is Spinal Tap (1984)",66,4.01515
"Philadelphia (1993)",66,3.61364
"School of Rock (2003)",66,3.40152
"Juno (2007)",65,3.76923
"Austin Powers in Goldmember (2002)",65,2.84615
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)",65,3.34615
"District 9 (2009)",65,3.77692
"Bridget Jones's Diary (2001)",65,3.62308
"Tombstone (1993)",65,3.81538
"True Romance (1993)",65,3.80000
"Untouchables, The (1987)",65,3.93846
"Dragonheart (1996)",65,3.09231
"Miss Congeniality (2000)",64,3.05469
"Eraser (1996)",64,3.10938
"Legally Blonde (2001)",64,3.15625
"Blair Witch Project, The (1999)",64,2.79688
"Crow, The (1994)",64,3.60938
"Sting, The (1973)",64,3.97656
"Sound of Music, The (1965)",64,3.93750
"Rocky (1976)",64,3.82813
"No Country for Old Men (2007)",64,3.89844
"Children of Men (2006)",64,3.94531
"Signs (2002)",63,3.16667
"Rocky Horror Picture Show, The (1975)",63,3.34127
"Coneheads (1993)",63,2.42063
"Platoon (1986)",63,3.98413
"Casper (1995)",62,2.80645
"Judge Dredd (1995)",62,2.66935
"Star Trek II: The Wrath of Khan (1982)",62,3.76613
"Blazing Saddles (1974)",62,3.93548
"Butch Cassidy and the Sundance Kid (1969)",62,3.94355
"Sleepy Hollow (1999)",62,3.47581
"Animal House (1978)",62,3.69355
"Abyss, The (1989)",62,3.47581
"Last Samurai, The (2003)",62,3.90323
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",62,3.44355
"I Am Legend (2007)",62,3.48387
"Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)",61,2.95902
"I, Robot (2004)",61,3.49180
"Charlie and the Chocolate Factory (2005)",61,3.00000
"Hot Fuzz (2007)",61,4.00000
"Pleasantville (1998)",61,3.48361
"Gone in 60 Seconds (2000)",61,3.22131
"Predator (1987)",61,3.58197
"Superman (1978)",61,3.60656
"Wayne's World (1992)",61,3.47541
"Piano, The (1993)",61,3.54098
"Three Musketeers, The (1993)",61,3.26230
"Batman Returns (1992)",60,3.02500
"Close Encounters of the Third Kind (1977)",60,3.74167
"Hot Shots! Part Deux (1993)",60,2.86667
"Mask of Zorro, The (1998)",60,3.10000
"Pinocchio (1940)",60,3.45000
"Vertigo (1958)",60,4.02500
"My Big Fat Greek Wedding (2002)",60,3.26667
"Italian Job, The (2003)",59,3.61864
"Mr. & Mrs. Smith (2005)",59,3.27966
"Love Actually (2003)",59,3.78814
"My Cousin Vinny (1992)",59,3.26271
"Chinatown (1974)",59,4.21186
"American Psycho (2000)",59,3.78814
"Brazil (1985)",59,4.17797
"Beverly Hills Cop III (1994)",59,2.72034
"Spaceballs (1987)",59,3.48305
"Con Air (1997)",59,3.03390
"Grosse Pointe Blank (1997)",59,3.61017
"Star Trek (2009)",59,3.86441
"Guardians of the Galaxy (2014)",59,4.05085
"Harry Potter and the Half-Blood Prince (2009)",58,3.88793
"Sherlock Holmes (2009)",58,3.85345
"King's Speech, The (2010)",58,4.04310
"Harry Potter and the Order of the Phoenix (2007)",58,3.86207
"28 Days Later (2002)",58,3.97414
"Wedding Crashers (2005)",58,3.50862
"Bowling for Columbine (2002)",58,3.77586
"Truth About Cats & Dogs, The (1996)",58,3.38793
"Air Force One (1997)",58,3.34483
"Raising Arizona (1987)",58,3.99138
"Naked Gun 33 1/3: The Final Insult (1994)",58,3.06034
"Annie Hall (1977)",58,3.87069
"To Kill a Mockingbird (1962)",58,4.12069
"It's a Wonderful Life (1946)",58,4.03448
"Blade (1998)",58,3.36207
"Congo (1995)",57,2.87719
"Cool Hand Luke (1967)",57,4.27193
"Client, The (1994)",57,3.38596
"12 Angry Men (1957)",57,4.14912
"Goonies, The (1985)",57,3.57018
"Few Good Men, A (1992)",57,3.78947
"Crocodile Dundee (1986)",57,3.17544
"North by Northwest (1959)",57,4.18421
"Social Network, The (2010)",57,3.88596
"Anchorman: The Legend of Ron Burgundy (2004)",57,3.77193
"Pirates of the Caribbean: At World's End (2007)",56,3.43750
"Planet of the Apes (1968)",56,3.80357
"A.I. Artificial Intelligence (2001)",56,3.33929
"Full Monty, The (1997)",56,3.75893
"Notting Hill (1999)",56,3.45536
"Field of Dreams (1989)",56,3.51786
"Wedding Singer, The (1998)",56,3.41964
"Wallace & Gromit: The Wrong Trousers (1993)",56,4.03571
"Election (1999)",56,3.66071
"Rushmore (1998)",56,3.54464
"Lady and the Tramp (1955)",55,3.40000
"From Dusk Till Dawn (1996)",55,3.50909
"Others, The (2001)",55,3.62727
"Moulin Rouge (2001)",55,3.59091
"Christmas Story, A (1983)",55,3.97273
"City Slickers II: The Legend of Curly's Gold (1994)",55,2.64545
"Superbad (2007)",55,3.86364
"Gangs of New York (2002)",55,3.51818
"Toy Story 3 (2010)",55,4.10909
"Wolf of Wall Street, The (2013)",54,3.91667
"Deadpool (2016)",54,3.83333
"The Hunger Games (2012)",54,3.43519
"Sabrina (1995)",54,3.18519
"What Women Want (2000)",54,3.13889
"Cable Guy, The (1996)",54,2.80556
"Zoolander (2001)",54,3.50926
"First Knight (1995)",54,3.08333
"10 Things I Hate About You (1999)",54,3.52778
"Romancing the Stone (1984)",54,3.45370
"Kung Fu Panda (2008)",54,3.44444
"Blood Diamond (2006)",53,3.76415
"Zombieland (2009)",53,3.87736
"How to Train Your Dragon (2010)",53,3.94340
"Space Jam (1996)",53,2.70755
"Jungle Book, The (1967)",53,3.83019
"Goldfinger (1964)",53,3.83962
"Best in Show (2000)",53,3.68868
"Johnny Mnemonic (1995)",53,2.67925
"Eyes Wide Shut (1999)",53,3.46226
"Wild Wild West (1999)",53,2.20755
"Arachnophobia (1990)",53,2.81132
"Fantasia (1940)",53,3.78302
"Hook (1991)",53,3.35849
"Last Action Hero (1993)",53,2.93396
"Exorcist, The (1973)",53,3.80189
"Grumpier Old Men (1995)",52,3.25962
"Magnolia (1999)",52,3.71154
"Donnie Brasco (1997)",52,3.74038
"Disclosure (1994)",52,3.53846
"Chasing Amy (1997)",52,3.57692
"Caddyshack (1980)",52,3.82692
"Million Dollar Baby (2004)",52,3.84615
"Knocked Up (2007)",52,3.65385
"Mystic River (2003)",52,3.71154
"X-Men: The Last Stand (2006)",52,3.35577
"Grand Budapest Hotel, The (2014)",52,3.77885
"Mulholland Drive (2001)",51,3.84314
"Training Day (2001)",51,3.79412
"Bad Boys (1995)",51,3.24510
"Blow (2001)",51,3.81373
"Splash (1984)",51,3.11765
"The Devil's Advocate (1997)",51,3.41176
"Army of Darkness (1993)",51,4.03922
"Tron (1982)",50,3.34000
"Scary Movie (2000)",50,2.92000
"You've Got Mail (1998)",50,3.12000
"Tommy Boy (1995)",50,3.78000
"Some Like It Hot (1959)",50,4.01000
"Harry Potter and the Deathly Hallows: Part 2 (2011)",50,3.91000
"The Imitation Game (2014)",50,4.02000
"Skyfall (2012)",50,3.81000
"Black Hawk Down (2001)",50,3.81000
"Super Size Me (2004)",50,3.51000
"Serenity (2005)",50,3.94000
"War of the Worlds (2005)",50,3.15000
"Crash (2004)",50,3.89000
"Day After Tomorrow, The (2004)",50,3.05000
"Chicago (2002)",49,3.72449
"Road to Perdition (2002)",49,3.52041
"Da Vinci Code, The (2006)",49,3.12245
"Sixteen Candles (1984)",49,3.60204
"Father of the Bride Part II (1995)",49,3.07143
"Talented Mr. Ripley, The (1999)",49,3.33673
"Planet of the Apes (2001)",49,2.74490
"Billy Madison (1995)",49,3.32653
"Superman II (1980)",49,3.02041
"James and the Giant Peach (1996)",49,3.44898
"Nine Months (1995)",48,2.82292
"Thomas Crown Affair, The (1999)",48,3.64583
"Big Daddy (1999)",48,3.19792
"Highlander (1986)",48,3.72917
"Jackie Brown (1997)",48,3.69792
"Dark City (1998)",48,3.82292
"Wallace & Gromit: A Close Shave (1995)",48,3.89583
"Seven Samurai (Shichinin no samurai) (1954)",48,4.18750
"Princess Mononoke (Mononoke-hime) (1997)",48,3.95833
"Garden State (2004)",48,3.70833
"Troy (2004)",48,3.42708
"Hotel Rwanda (2004)",48,3.79167
"The Martian (2015)",48,4.00000
"Mad Max: Fury Road (2015)",47,3.81915
"Iron Man 2 (2010)",47,3.51064
"Harry Potter and the Deathly Hallows: Part 1 (2010)",47,3.98936
"Analyze This (1999)",47,3.09574
"Chocolat (2000)",47,3.52128
"Hunchback of Notre Dame, The (1996)",47,3.32979
"Ghostbusters II (1989)",47,3.00000
"101 Dalmatians (1996)",47,3.07447
"Sling Blade (1996)",47,3.84043
"Alien³ (a.k.a. Alien 3) (1992)",47,3.14894
"Basic Instinct (1992)",47,3.19149
"Pi (1998)",47,3.85106
"Poltergeist (1982)",47,3.42553
"Lethal Weapon 2 (1989)",47,3.18085
"Singin' in the Rain (1952)",47,4.07447
"50 First Dates (2004)",47,3.55319
"Ring, The (2002)",47,3.20213
"Terminal, The (2004)",47,3.31915
"M*A*S*H (a.k.a. MASH) (1970)",46,3.93478
"Simpsons Movie, The (2007)",46,3.61957
"Pianist, The (2002)",46,4.10870
"The Butterfly Effect (2004)",46,3.63043
"Adaptation (2002)",46,3.94565
"Pursuit of Happyness, The (2006)",46,3.79348
"Gran Torino (2008)",46,3.94565
"Blue Velvet (1986)",46,3.94565
"Mortal Kombat (1995)",46,2.54348
"Phenomenon (1996)",46,3.33696
"Rumble in the Bronx (Hont faan kui) (1995)",46,3.54348
"Beverly Hills Cop (1984)",46,3.40217
"Me, Myself & Irene (2000)",46,3.08696
"Sneakers (1992)",46,3.47826
"Fear and Loathing in Las Vegas (1998)",46,3.96739
"Lethal Weapon 3 (1992)",46,2.93478
"Thing, The (1982)",45,3.93333
"American Pie 2 (2001)",45,3.06667
"Bill & Ted's Excellent Adventure (1989)",45,3.70000
"Fast and the Furious, The (2001)",45,3.06667
"Antz (1998)",45,3.24444
"Cell, The (2000)",45,3.04444
"Mummy Returns, The (2001)",45,3.08889
"Species (1995)",45,2.66667
"French Kiss (1995)",45,3.47778
"Star Trek: The Motion Picture (1979)",45,3.04444
"Alien: Resurrection (1997)",45,2.92222
"Unforgiven (1992)",45,4.11111
"Tomorrow Never Dies (1997)",45,3.06667
"Bridge on the River Kwai, The (1957)",45,4.12222
"Lawrence of Arabia (1962)",45,4.30000
"English Patient, The (1996)",45,3.71111
"Mulan (1998)",45,3.56667
"League of Their Own, A (1992)",45,3.46667
"Three Kings (1999)",45,3.71111
"Godfather: Part III, The (1990)",45,3.35556
"Gone with the Wind (1939)",45,3.64444
"Payback (1999)",45,3.42222
"Aristocats, The (1970)",45,3.41111
"Terminator 3: Rise of the Machines (2003)",45,3.04444
"Hitch (2005)",45,3.16667
"Collateral (2004)",44,3.76136
"About a Boy (2002)",44,3.71591
"Corpse Bride (2005)",44,3.53409
"Hitchhiker's Guide to the Galaxy, The (2005)",44,3.42045
"Equilibrium (2002)",44,3.87500
"Spider-Man 3 (2007)",44,3.00000
"Stranger than Fiction (2006)",44,3.69318
"Escape from L.A. (1996)",44,2.92045
"101 Dalmatians (One Hundred and One Dalmatians) (1961)",44,3.43182
"Vanilla Sky (2001)",44,3.42045
"Rob Roy (1995)",44,3.54545
"Perfect Storm, The (2000)",44,3.17045
"Birds, The (1963)",44,3.60227
"Misery (1990)",44,3.84091
"Maltese Falcon, The (1941)",44,4.17045
"Edge of Tomorrow (2014)",44,3.97727
"Scott Pilgrim vs. the World (2010)",44,3.70455
"X-Men: First Class (2011)",43,3.79070
"Inside Out (2015)",43,3.81395
"Kick-Ass (2010)",43,3.65116
"Ocean's Twelve (2004)",43,3.29070
"Watchmen (2009)",43,3.98837
"Illusionist, The (2006)",43,3.77907
"Tin Cup (1996)",43,3.17442
"Pearl Harbor (2001)",43,2.96512
"Fly, The (1986)",43,3.38372
"Conspiracy Theory (1997)",43,2.94186
"Star Trek IV: The Voyage Home (1986)",43,3.47674
"I.Q. (1994)",43,3.45349
"Shanghai Noon (2000)",43,3.15116
"Deer Hunter, The (1978)",43,3.82558
"Great Escape, The (1963)",43,4.12791
"Good Morning, Vietnam (1987)",43,3.80233
"American Graffiti (1973)",43,3.84884
"Entrapment (1999)",43,2.98837
"Deep Impact (1998)",43,3.06977
"Boondock Saints, The (2000)",43,4.22093
"Much Ado About Nothing (1993)",43,3.81395
"Ronin (1998)",43,3.52326
"NeverEnding Story, The (1984)",43,3.58140
"Cocoon (1985)",43,3.26744
"Batman & Robin (1997)",42,2.21429
"Kingpin (1996)",42,3.36905
"Naked Gun: From the Files of Police Squad!, The (1988)",42,3.40476
"Star Trek III: The Search for Spock (1984)",42,3.26190
"Star Trek VI: The Undiscovered Country (1991)",42,3.34524
"Little Women (1994)",42,3.88095
"Flintstones, The (1994)",42,2.35714
"Carlito's Way (1993)",42,3.73810
"Dazed and Confused (1993)",42,3.92857
"Whole Nine Yards, The (2000)",42,3.52381
"Crying Game, The (1992)",42,3.44048
"Dirty Dancing (1987)",42,3.36905
"Runaway Bride (1999)",42,2.83333
"X-Files: Fight the Future, The (1998)",42,3.44048
"That Thing You Do! (1996)",42,3.27381
"Cinderella (1950)",42,3.48810
"Fast Times at Ridgemont High (1982)",42,3.47619
"Labyrinth (1986)",42,3.82143
"Rush Hour (1998)",42,3.26190
"Risky Business (1983)",42,3.44048
"(500) Days of Summer (2009)",42,3.66667
"Girl with the Dragon Tattoo, The (2011)",42,3.48810
"Black Swan (2010)",42,3.63095
"Taken (2008)",42,3.61905
"Into the Wild (2007)",41,3.90244
"Hellboy (2004)",41,3.37805
"In Bruges (2008)",41,4.15854
"8 Mile (2002)",41,3.29268
"Cars (2006)",41,3.37805
"Time Bandits (1981)",41,3.73171
"Peter Pan (1953)",41,3.57317
"Remember the Titans (2000)",41,3.74390
"Knight's Tale, A (2001)",41,3.34146
"Heathers (1989)",41,3.73171
"Road Trip (2000)",41,3.08537
"Striptease (1996)",41,2.41463
"Glory (1989)",41,4.17073
"Thelma & Louise (1991)",41,3.46341
"Executive Decision (1996)",41,3.37805
"So I Married an Axe Murderer (1993)",41,3.31707
"Gremlins (1984)",41,3.37805
"Star Wars: Episode VII - The Force Awakens (2015)",41,3.85366
"Big Hero 6 (2014)",41,3.85366
"Hobbit: An Unexpected Journey, The (2012)",40,3.81250
"King Kong (2005)",40,3.40000
"Madagascar (2005)",40,3.37500
"Howl's Moving Castle (Hauru no ugoku shiro) (2004)",40,4.07500
"Bend It Like Beckham (2002)",40,3.30000
"Monty Python's The Meaning of Life (1983)",40,3.95000
"Inside Man (2006)",40,3.80000
"Lara Croft: Tomb Raider (2001)",40,2.90000
"Enemy at the Gates (2001)",40,3.51250
"Don Juan DeMarco (1995)",40,3.61250
"Road Warrior, The (Mad Max 2) (1981)",40,4.03750
"Nell (1994)",40,3.33750
"Witness (1985)",40,3.65000
"Boot, Das (Boat, The) (1981)",40,4.21250
"Raging Bull (1980)",40,4.18750
"River Wild, The (1994)",40,3.25000
"Hudsucker Proxy, The (1994)",40,3.55000
"My Best Friend's Wedding (1997)",40,3.50000
"Alice in Wonderland (1951)",40,3.37500
"Searching for Bobby Fischer (1993)",40,3.87500
"Willow (1988)",40,3.33750
"Cruel Intentions (1999)",40,3.22500
"Mystery Men (1999)",39,3.08974
"Rocketeer, The (1991)",39,3.25641
"Man on the Moon (1999)",39,3.48718
"Hannibal (2001)",39,2.93590
"Hollow Man (2000)",39,2.29487
"Iron Giant, The (1999)",39,4.05128
