tag,tag_frequency
nonsense,1
rebellion,1
revolution,1
"Ben Kingsley",1
ethics,1
immortality,1
"Bad story",1
"Harley Quinn",1
"Harley Quinn's ass",1
"Horrible directing",1
Joker,1
"lack of plot",1
"Margot Robbie",1
"Poor story",1
"poorly paced",1
"Gal Gadot",1
superman,1
wonderwoman,1
"leonardo DiCarpio",1
"building a family",1
creative,1
freedom,1
"good writing",1
individualism,1
"Viggo Mortensen",1
"gun tactics",1
"jon hamm",1
"thought provoking",1
"Dwayne Johnson",1
"Rachel McAdams",1
"Alicia Vikander",1
"video game adaptation",1
"Josh Brolin",1
"Emilia Clarke",1
"Everything you want is here",1
"engrossing adventure",1
Nerd,1
"stone age",1
killer,1
kids,1
"Kevin Costner",1
"jay and silent bob",1
"Kevin Smith",1
goretastic,1
"science fiction",1
"surprise ending",1
"cruel characters",1
threesome,1
"Sexual Humor",1
"embarassing scenes",1
"R language",1
80's,1
Vulgar,1
"sofia coppola",1
"John Cusack",1
"Ewan McGregor",1
"Renee Zellweger",1
"jackie chan",1
"kung fu",1
"Something for everyone in this one... saw it without and plan on seeing it with kids!",1
"assassin-in-training (scene)",1
"Robert Ludlum",1
"test tag",1
"fun family movie",1
"directorial debut",1
"not linear",1
"alan rickman",1
"harry potter",1
insomnia,1
"amazing artwork",1
"end of the world",1
mecha,1
gintama,1
remaster,1
"space epic",1
"oldie but goodie",1
"big wave",1
ummarti2006,1
"Notable Nudity",1
moldy,1
old,1
"a clever chef rat",1
hope,1
stupid,1
Favelas,1
"Henry Darger",1
"the catholic church is the most corrupt organization in history",1
"childish naivity",1
"Bechdel Test:Fail",1
cartoon,1
"computer animation",1
dreams,1
"Narrative pisstake",1
"american idolatry",1
"Matt Damon",1
"celebrity fetishism",1
mediacentralism,1
"system holism",1
"city politics",1
"political right versus left",1
"Creature Feature",1
"music industry",1
"remix culture",1
"film history",1
"representation of children",1
"Disney animated feature",1
"Oscar (Best Music - Original Score)",1
knights,1
highschool,1
boksdrama,1
stiller,1
wapendrama,1
sisters,1
"ROBOTS AND ANDROIDS",1
post-college,1
restaurant,1
transvestite,1
"Amazing Cinematography",1
"updated classics",1
android(s)/cyborg(s),1
"Bette Davis",1
"lesbian subtext",1
"undercover cop",1
"Casey Affleck",1
ending,1
"political commentary",1
Afghanistan,1
"American propaganda",1
tricky,1
addiction,1
"Mark Wahlberg",1
"independent film",1
"space adventure",1
"nuclear war",1
"freedom of expression",1
"Monty Python",1
"space craft",1
"special effects",1
"Juliette Lewis",1
SNL,1
"Nicolas Cage",1
"adult humor",1
"free speech",1
"south park",1
"Trey Parker",1
secrets,1
asylum,1
"Brittany Murphy",1
"winona ryder",1
"David Bowie",1
"mindless one liners",1
"high fantasy",1
mythology,1
lesbian,1
"Modern war",1
"based on a play",1
PTSD,1
"dark fairy tale",1
stranded,1
"alter ego",1
illusions,1
overcomplicated,1
absorbing,1
acting,1
uplifting,1
Metaphorical,1
annoying,1
"human rights",1
procedural,1
game,1
teacher,1
pigs,1
Nun,1
Emma,1
"South Africa",1
"Jekyll and Hyde",1
muppets,1
Scotland,1
"Michael Crichton",1
computers,1
infertility,1
Beethoven,1
Einstein,1
"Louisa May Alcott",1
"wrongful imprisonment",1
Enterprise,1
"interracial romance",1
shrimp,1
bus,1
spies,1
"hula hoop",1
Dinosaur,1
Housekeeper,1
"large cast",1
"Empire State Building",1
"beat poetry",1
"American Indians",1
"Native Americans",1
"Hannibal Lector",1
"Gulf War",1
"Bugs Bunny",1
Veterinarian,1
Alcatraz,1
Disaster,1
"Atomic bomb",1
falling,1
voyeurism,1
Brooch,1
"Mount Rushmore",1
"start of a beautiful friendship",1
statue,1
"rich guy - poor girl",1
royalty,1
1900s,1
Dorothy,1
Toto,1
Rosebud,1
Hal,1
"Mrs. DeWinter",1
Russia,1
Shangri-La,1
oil,1
leopard,1
nanny,1
governess,1
1960s,1
"Jim Morrison",1
Navy,1
aging,1
"I am your father",1
"Inigo Montoya",1
"six-fingered man",1
"ark of the covenant",1
"Middle East",1
"Harper Lee",1
"ferris wheel",1
Venice,1
zither,1
"Norman Bates",1
"Saturday Night Live",1
Mozart,1
Salieri,1
"The Entertainer",1
"May-December romance",1
"Simon and Garfunkel",1
incest,1
Cold,1
skiing,1
gunfight,1
Hammett,1
"heavy metal",1
"Holy Grail",1
"E. M. Forster",1
prom,1
Borg,1
ex-con,1
"Arthur Miller",1
Klingons,1
"Captain Kirk",1
whales,1
Hawkeye,1
"James Fennimore Cooper",1
Conan,1
"Andrew Lloyd Weber",1
jungle,1
Tolstoy,1
"ballroom dance",1
"Queen Victoria",1
Savannah,1
Canada,1
shipwreck,1
"Charles Dickens",1
"No DVD at Netflix",1
conspiracy,1
ships,1
"Huey Long",1
"Robert Penn Warren",1
"coulda been a contender",1
autism,1
California,1
Mexico,1
Katzanzakis,1
"General Motors",1
Michigan,1
suburbia,1
carnival,1
mermaid,1
"weather forecaster",1
"S.E. Hinton",1
mice,1
aquarium,1
Boston,1
Capone,1
"small towns",1
"In Your Eyes",1
"Lloyd Dobbler",1
Broadway,1
Moses,1
e-mail,1
Hungary,1
stapler,1
workplace,1
Siam,1
"southern US",1
golfing,1
"virtual reality",1
prequel,1
"the Force",1
spiders,1
"claims to be true",1
video,1
crucifixion,1
slavery,1
nostalgia,1
"I see dead people",1
aviation,1
Beatles,1
river,1
"Academy award (Best Supporting Actress)",1
Indonesia,1
brothers,1
"lawn mower",1
"live action/animation",1
tobacco,1
"dance marathon",1
camp,1
"Up series",1
"Ichabod Crane",1
"dust bowl",1
black-and-white,1
"Andy Kaufman",1
"a dingo ate my baby",1
nuns,1
"plastic surgery",1
"big top",1
subway,1
"Peace Corp",1
TOGA,1
Insurance,1
"Pearl S Buck",1
"interracial marriage",1
prejudice,1
pool,1
evolution,1
families,1
rabbi,1
suicide,1
"Pee Wee Herman",1
mining,1
"missing children",1
