title,rating_count,avg_rating
"Hangover, The (2009)",76,3.63158
"Others, The (2001)",55,3.62727
"Leaving Las Vegas (1995)",76,3.62500
"Bridget Jones's Diary (2001)",65,3.62308
"Italian Job, The (2003)",59,3.61864
"Snow White and the Seven Dwarfs (1937)",77,3.61688
"Philadelphia (1993)",66,3.61364
"Grosse Pointe Blank (1997)",59,3.61017
"Crow, The (1994)",64,3.60938
"Superman (1978)",61,3.60656
"Clear and Present Danger (1994)",110,3.60455
"Avatar (2009)",97,3.60309
"Harry Potter and the Chamber of Secrets (2002)",102,3.59804
"Jerry Maguire (1996)",85,3.59412
"Moulin Rouge (2001)",55,3.59091
"Predator (1987)",61,3.58197
"Galaxy Quest (1999)",75,3.58000
"Chasing Amy (1997)",52,3.57692
"Shrek 2 (2004)",92,3.57609
"Who Framed Roger Rabbit? (1988)",97,3.57216
"Goonies, The (1985)",57,3.57018
"Desperado (1995)",66,3.56061
"Die Hard: With a Vengeance (1995)",144,3.55556
"Nightmare Before Christmas, The (1993)",93,3.55376
"Chicken Run (2000)",78,3.55128
"40-Year-Old Virgin, The (2005)",74,3.54730
"Dave (1993)",76,3.54605
"Rushmore (1998)",56,3.54464
"Piano, The (1993)",61,3.54098
"Spider-Man (2002)",122,3.54098
"Disclosure (1994)",52,3.53846
"Mission: Impossible (1996)",162,3.53704
"Austin Powers: International Man of Mystery (1997)",100,3.53500
"Firm, The (1993)",101,3.53465
"Speed (1994)",171,3.52924
"Erin Brockovich (2000)",70,3.52857
"10 Things I Hate About You (1999)",54,3.52778
"Four Weddings and a Funeral (1994)",103,3.51942
"Quiz Show (1994)",81,3.51852
"Gangs of New York (2002)",55,3.51818
"Field of Dreams (1989)",56,3.51786
"Bug's Life, A (1998)",92,3.51630
"Super Size Me (2004)",50,3.51000
"Zoolander (2001)",54,3.50926
"From Dusk Till Dawn (1996)",55,3.50909
"Wedding Crashers (2005)",58,3.50862
"Pirates of the Caribbean: Dead Man's Chest (2006)",72,3.50694
"Back to the Future Part II (1989)",87,3.50575
"Maverick (1994)",74,3.50000
"True Lies (1994)",178,3.49719
"GoldenEye (1995)",132,3.49621
"Get Shorty (1995)",89,3.49438
"Birdcage, The (1996)",86,3.49419
"Enemy of the State (1998)",67,3.49254
"I, Robot (2004)",61,3.49180
"Men in Black (a.k.a. MIB) (1997)",165,3.48788
"Pretty Woman (1990)",135,3.48519
"I Am Legend (2007)",62,3.48387
"Pleasantville (1998)",61,3.48361
"Spaceballs (1987)",59,3.48305
"Unbreakable (2000)",73,3.47945
"Abyss, The (1989)",62,3.47581
"Sleepy Hollow (1999)",62,3.47581
"Wayne's World (1992)",61,3.47541
"Beetlejuice (1988)",91,3.47253
"Sleepless in Seattle (1993)",106,3.47170
"While You Were Sleeping (1995)",98,3.46939
"Eyes Wide Shut (1999)",53,3.46226
"Interview with the Vampire: The Vampire Chronicles (1994)",109,3.45872
"Notting Hill (1999)",56,3.45536
"Romancing the Stone (1984)",54,3.45370
"Pinocchio (1940)",60,3.45000
"Patriot, The (2000)",68,3.44853
"Independence Day (a.k.a. ID4) (1996)",202,3.44554
"Kung Fu Panda (2008)",54,3.44444
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",62,3.44355
"Happy Gilmore (1996)",99,3.43939
"Pirates of the Caribbean: At World's End (2007)",56,3.43750
"The Hunger Games (2012)",54,3.43519
"Ghost (1990)",115,3.43478
"Jumanji (1995)",110,3.43182
"Star Wars: Episode III - Revenge of the Sith (2005)",78,3.42949
"Batman (1989)",189,3.42857
"Outbreak (1995)",101,3.42574
"Little Mermaid, The (1989)",67,3.42537
"Wedding Singer, The (1998)",56,3.41964
"Meet the Parents (2000)",91,3.41758
"Titanic (1997)",140,3.41429
"The Devil's Advocate (1997)",51,3.41176
"Die Hard 2 (1990)",68,3.40441
"School of Rock (2003)",66,3.40152
"Lady and the Tramp (1955)",55,3.40000
"Legends of the Fall (1994)",68,3.39706
"Star Trek: Generations (1994)",108,3.39352
"Mrs. Doubtfire (1993)",144,3.38889
"Truth About Cats & Dogs, The (1996)",58,3.38793
"Client, The (1994)",57,3.38596
"American Pie (1999)",103,3.37864
"Stargate (1994)",140,3.37500
"RoboCop (1987)",70,3.37143
"Face/Off (1997)",77,3.37013
"Back to the Future Part III (1990)",88,3.36932
"Blade (1998)",58,3.36207
"Hook (1991)",53,3.35849
"X-Men: The Last Stand (2006)",52,3.35577
"Matrix Reloaded, The (2003)",96,3.35417
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)",65,3.34615
"Air Force One (1997)",58,3.34483
"Rocky Horror Picture Show, The (1975)",63,3.34127
"Tron (1982)",50,3.34000
"A.I. Artificial Intelligence (2001)",56,3.33929
"Starship Troopers (1997)",80,3.33125
"Twister (1996)",123,3.32114
"Bruce Almighty (2003)",71,3.31690
"Top Gun (1986)",83,3.30120
"Clueless (1995)",104,3.29327
"Mr. & Mrs. Smith (2005)",59,3.27966
"My Big Fat Greek Wedding (2002)",60,3.26667
"My Cousin Vinny (1992)",59,3.26271
"Three Musketeers, The (1993)",61,3.26230
"Grumpier Old Men (1995)",52,3.25962
"Bad Boys (1995)",51,3.24510
"Natural Born Killers (1994)",92,3.23370
"Gone in 60 Seconds (2000)",61,3.22131
"Santa Clause, The (1994)",81,3.20370
"Scream (1996)",70,3.20000
"Austin Powers: The Spy Who Shagged Me (1999)",121,3.19835
"Sabrina (1995)",54,3.18519
"Mask, The (1994)",157,3.18471
"Crocodile Dundee (1986)",57,3.17544
"Signs (2002)",63,3.16667
"Star Wars: Episode II - Attack of the Clones (2002)",92,3.15761
"Legally Blonde (2001)",64,3.15625
"Matrix Revolutions, The (2003)",79,3.15190
"War of the Worlds (2005)",50,3.15000
"Pocahontas (1995)",68,3.14706
"Grease (1978)",68,3.13971
"What Women Want (2000)",54,3.13889
"Robin Hood: Men in Tights (1993)",69,3.13043
"Mummy, The (1999)",87,3.12069
"You've Got Mail (1998)",50,3.12000
"Splash (1984)",51,3.11765
"Eraser (1996)",64,3.10938
"Star Wars: Episode I - The Phantom Menace (1999)",140,3.10714
"Addams Family Values (1993)",84,3.10119
"Mask of Zorro, The (1998)",60,3.10000
"Mars Attacks! (1996)",86,3.09302
"Demolition Man (1993)",81,3.09259
"Dragonheart (1996)",65,3.09231
"First Knight (1995)",54,3.08333
"Naked Gun 33 1/3: The Final Insult (1994)",58,3.06034
"Dumb & Dumber (Dumb and Dumber) (1994)",133,3.06015
"Miss Congeniality (2000)",64,3.05469
"Armageddon (1998)",92,3.05435
"Day After Tomorrow, The (2004)",50,3.05000
"Ace Ventura: Pet Detective (1994)",161,3.04037
"Net, The (1995)",112,3.04018
"Cliffhanger (1993)",101,3.03465
"Con Air (1997)",59,3.03390
"Liar Liar (1997)",74,3.03378
"Batman Returns (1992)",60,3.02500
"Broken Arrow (1996)",84,3.02381
"Charlie and the Chocolate Factory (2005)",61,3.00000
"Home Alone (1990)",116,2.99569
"Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)",61,2.95902
"Last Action Hero (1993)",53,2.93396
"Scary Movie (2000)",50,2.92000
"Batman Forever (1995)",137,2.91606
"Waterworld (1995)",115,2.91304
"Congo (1995)",57,2.87719
"Hot Shots! Part Deux (1993)",60,2.86667
"Austin Powers in Goldmember (2002)",65,2.84615
"Arachnophobia (1990)",53,2.81132
"Casper (1995)",62,2.80645
"Cable Guy, The (1996)",54,2.80556
"Blair Witch Project, The (1999)",64,2.79688
"Honey, I Shrunk the Kids (1989)",68,2.75735
"Lost World: Jurassic Park, The (1997)",67,2.75373
"Nutty Professor, The (1996)",82,2.73171
"Ace Ventura: When Nature Calls (1995)",88,2.72727
"Charlie's Angels (2000)",72,2.72222
"Beverly Hills Cop III (1994)",59,2.72034
"Mission: Impossible II (2000)",77,2.71429
"Space Jam (1996)",53,2.70755
"Johnny Mnemonic (1995)",53,2.67925
"Judge Dredd (1995)",62,2.66935
"City Slickers II: The Legend of Curly's Gold (1994)",55,2.64545
"Coneheads (1993)",63,2.42063
"Wild Wild West (1999)",53,2.20755
